     i,          n,    7,    5,    3,    2
  1444,    1687500,    0,    6,    3,    2
  1445,    1693440,    2,    1,    3,    8
  1446,    1701000,    1,    3,    5,    3
  1447,    1714608,    2,    0,    7,    4
  1448,    1715000,    3,    4,    0,    3
  1449,    1720320,    1,    1,    1,   14
  1450,    1728000,    0,    3,    3,    9
  1451,    1728720,    4,    1,    2,    4
  1452,    1741824,    1,    0,    5,   10
  1453,    1749600,    0,    2,    7,    5
  1454,    1750000,    1,    6,    0,    4
  1455,    1750329,    4,    0,    6,    0
  1456,    1756160,    3,    1,    0,   10
  1457,    1764000,    2,    3,    2,    5
  1458,    1764735,    6,    1,    1,    0
  1459,    1769472,    0,    0,    3,   16
  1460,    1771470,    0,    1,   11,    1
  1461,    1771875,    1,    5,    4,    0
  1462,    1778112,    3,    0,    4,    6
  1463,    1786050,    2,    2,    6,    1
  1464,    1792000,    1,    3,    0,   11
  1465,    1800000,    0,    5,    2,    6
  1466,    1800750,    4,    3,    1,    1
  1467,    1806336,    2,    0,    2,   12
  1468,    1814400,    1,    2,    4,    7
  1469,    1815156,    5,    0,    3,    2
  1470,    1822500,    0,    4,    6,    2
  1471,    1835008,    1,    0,    0,   18
  1472,    1837080,    1,    1,    8,    3
  1473,    1837500,    2,    5,    1,    2
  1474,    1843200,    0,    2,    2,   13
  1475,    1843968,    4,    0,    1,    8
  1476,    1852200,    3,    2,    3,    3
  1477,    1866240,    0,    1,    6,    9
  1478,    1875000,    0,    7,    1,    3
  1479,    1881600,    2,    2,    1,    9
  1480,    1882384,    6,    0,    0,    4
  1481,    1889568,    0,    0,   10,    5
  1482,    1890000,    1,    4,    3,    4
  1483,    1905120,    2,    1,    5,    5
  1484,    1913625,    1,    3,    7,    0
  1485,    1920000,    0,    4,    1,   10
  1486,    1920800,    4,    2,    0,    5
  1487,    1928934,    2,    0,    9,    1
  1488,    1929375,    3,    4,    2,    0
  1489,    1935360,    1,    1,    3,   11
  1490,    1944000,    0,    3,    5,    6
  1491,    1944810,    4,    1,    4,    1
  1492,    1953125,    0,    9,    0,    0
  1493,    1959552,    1,    0,    7,    7
  1494,    1960000,    2,    4,    0,    6
  1495,    1966080,    0,    1,    1,   17
  1496,    1968300,    0,    2,    9,    2
  1497,    1968750,    1,    6,    2,    1
  1498,    1975680,    3,    1,    2,    7
  1499,    1984500,    2,    3,    4,    2
  1500,    1990656,    0,    0,    5,   13
  1501,    2000000,    0,    6,    0,    7
  1502,    2000376,    3,    0,    6,    3
  1503,    2007040,    2,    1,    0,   13
  1504,    2016000,    1,    3,    2,    8
  1505,    2016840,    5,    1,    1,    3
  1506,    2025000,    0,    5,    4,    3
  1507,    2032128,    2,    0,    4,    9
  1508,    2041200,    1,    2,    6,    4
  1509,    2048000,    0,    3,    0,   14
  1510,    2058000,    3,    3,    1,    4
  1511,    2064384,    1,    0,    2,   15
  1512,    2066715,    1,    1,   10,    0
  1513,    2073600,    0,    2,    4,   10
  1514,    2074464,    4,    0,    3,    5
  1515,    2083725,    3,    2,    5,    0
  1516,    2097152,    0,    0,    0,   21
  1517,    2099520,    0,    1,    8,    6
  1518,    2100000,    1,    5,    1,    5
  1519,    2100875,    5,    3,    0,    0
  1520,    2107392,    3,    0,    1,   11
  1521,    2109375,    0,    7,    3,    0
  1522,    2116800,    2,    2,    3,    6
  1523,    2117682,    6,    0,    2,    1
  1524,    2125764,    0,    0,   12,    2
  1525,    2126250,    1,    4,    5,    1
  1526,    2143260,    2,    1,    7,    2
  1527,    2143750,    3,    5,    0,    1
  1528,    2150400,    1,    2,    1,   12
  1529,    2151296,    5,    0,    0,    7
  1530,    2160000,    0,    4,    3,    7
  1531,    2160900,    4,    2,    2,    2
  1532,    2177280,    1,    1,    5,    8
  1533,    2187000,    0,    3,    7,    3
  1534,    2187500,    1,    7,    0,    2
  1535,    2195200,    3,    2,    0,    8
  1536,    2204496,    1,    0,    9,    4
  1537,    2205000,    2,    4,    2,    3
  1538,    2211840,    0,    1,    3,   14
  1539,    2222640,    3,    1,    4,    4
  1540,    2239488,    0,    0,    7,   10
  1541,    2240000,    1,    4,    0,    9
  1542,    2250000,    0,    6,    2,    4
  1543,    2250423,    3,    0,    8,    0
  1544,    2257920,    2,    1,    2,   10
  1545,    2268000,    1,    3,    4,    5
  1546,    2268945,    5,    1,    3,    0
  1547,    2278125,    0,    5,    6,    0
  1548,    2286144,    2,    0,    6,    6
  1549,    2293760,    1,    1,    0,   16
  1550,    2296350,    1,    2,    8,    1
  1551,    2296875,    2,    6,    1,    0
  1552,    2304000,    0,    3,    2,   11
  1553,    2304960,    4,    1,    1,    6
  1554,    2315250,    3,    3,    3,    1
  1555,    2322432,    1,    0,    4,   12
  1556,    2332800,    0,    2,    6,    7
  1557,    2333772,    4,    0,    5,    2
  1558,    2343750,    0,    8,    1,    1
  1559,    2352000,    2,    3,    1,    7
  1560,    2352980,    6,    1,    0,    2
  1561,    2359296,    0,    0,    2,   18
  1562,    2361960,    0,    1,   10,    3
  1563,    2362500,    1,    5,    3,    2
  1564,    2370816,    3,    0,    3,    8
  1565,    2381400,    2,    2,    5,    3
  1566,    2400000,    0,    5,    1,    8
  1567,    2401000,    4,    3,    0,    3
  1568,    2408448,    2,    0,    1,   14
  1569,    2419200,    1,    2,    3,    9
  1570,    2420208,    5,    0,    2,    4
  1571,    2430000,    0,    4,    5,    4
  1572,    2449440,    1,    1,    7,    5
  1573,    2450000,    2,    5,    0,    4
  1574,    2457600,    0,    2,    1,   15
  1575,    2458624,    4,    0,    0,   10
  1576,    2460375,    0,    3,    9,    0
  1577,    2469600,    3,    2,    2,    5
  1578,    2470629,    7,    0,    1,    0
  1579,    2480058,    1,    0,   11,    1
  1580,    2480625,    2,    4,    4,    0
  1581,    2488320,    0,    1,    5,   11
  1582,    2500000,    0,    7,    0,    5
  1583,    2500470,    3,    1,    6,    1
  1584,    2508800,    2,    2,    0,   11
  1585,    2519424,    0,    0,    9,    7
  1586,    2520000,    1,    4,    2,    6
  1587,    2521050,    5,    2,    1,    1
  1588,    2531250,    0,    6,    4,    1
  1589,    2540160,    2,    1,    4,    7
  1590,    2551500,    1,    3,    6,    2
  1591,    2560000,    0,    4,    0,   12
  1592,    2571912,    2,    0,    8,    3
  1593,    2572500,    3,    4,    1,    2
  1594,    2580480,    1,    1,    2,   13
  1595,    2592000,    0,    3,    4,    8
  1596,    2593080,    4,    1,    3,    3
  1597,    2612736,    1,    0,    6,    9
  1598,    2621440,    0,    1,    0,   19
  1599,    2624400,    0,    2,    8,    4
  1600,    2625000,    1,    6,    1,    3
  1601,    2634240,    3,    1,    1,    9
  1602,    2646000,    2,    3,    3,    4
  1603,    2654208,    0,    0,    4,   15
  1604,    2657205,    0,    1,   12,    0
  1605,    2667168,    3,    0,    5,    5
  1606,    2679075,    2,    2,    7,    0
  1607,    2688000,    1,    3,    1,   10
  1608,    2689120,    5,    1,    0,    5
  1609,    2700000,    0,    5,    3,    5
  1610,    2701125,    4,    3,    2,    0
  1611,    2709504,    2,    0,    3,   11
  1612,    2721600,    1,    2,    5,    6
  1613,    2722734,    5,    0,    4,    1
  1614,    2733750,    0,    4,    7,    1
  1615,    2734375,    1,    8,    0,    0
  1616,    2744000,    3,    3,    0,    6
  1617,    2752512,    1,    0,    1,   17
  1618,    2755620,    1,    1,    9,    2
  1619,    2756250,    2,    5,    2,    1
  1620,    2764800,    0,    2,    3,   12
  1621,    2765952,    4,    0,    2,    7
  1622,    2778300,    3,    2,    4,    2
  1623,    2799360,    0,    1,    7,    8
  1624,    2800000,    1,    5,    0,    7
  1625,    2809856,    3,    0,    0,   13
  1626,    2812500,    0,    7,    2,    2
  1627,    2822400,    2,    2,    2,    8
  1628,    2823576,    6,    0,    1,    3
  1629,    2834352,    0,    0,   11,    4
  1630,    2835000,    1,    4,    4,    3
  1631,    2857680,    2,    1,    6,    4
  1632,    2867200,    1,    2,    0,   14
  1633,    2880000,    0,    4,    2,    9
  1634,    2881200,    4,    2,    1,    4
  1635,    2893401,    2,    0,   10,    0
  1636,    2903040,    1,    1,    4,   10
  1637,    2916000,    0,    3,    6,    5
  1638,    2917215,    4,    1,    5,    0
  1639,    2939328,    1,    0,    8,    6
  1640,    2940000,    2,    4,    1,    5
  1641,    2941225,    6,    2,    0,    0
  1642,    2949120,    0,    1,    2,   16
  1643,    2952450,    0,    2,   10,    1
  1644,    2953125,    1,    6,    3,    0
  1645,    2963520,    3,    1,    3,    6
  1646,    2976750,    2,    3,    5,    1
  1647,    2985984,    0,    0,    6,   12
  1648,    3000000,    0,    6,    1,    6
  1649,    3000564,    3,    0,    7,    2
  1650,    3001250,    4,    4,    0,    1
  1651,    3010560,    2,    1,    1,   12
  1652,    3024000,    1,    3,    3,    7
  1653,    3025260,    5,    1,    2,    2
  1654,    3037500,    0,    5,    5,    2
  1655,    3048192,    2,    0,    5,    8
  1656,    3061800,    1,    2,    7,    3
  1657,    3062500,    2,    6,    0,    2
  1658,    3072000,    0,    3,    1,   13
  1659,    3073280,    4,    1,    0,    8
  1660,    3087000,    3,    3,    2,    3
  1661,    3096576,    1,    0,    3,   14
  1662,    3110400,    0,    2,    5,    9
  1663,    3111696,    4,    0,    4,    4
  1664,    3125000,    0,    8,    0,    3
  1665,    3136000,    2,    3,    0,    9
  1666,    3145728,    0,    0,    1,   20
  1667,    3149280,    0,    1,    9,    5
  1668,    3150000,    1,    5,    2,    4
  1669,    3161088,    3,    0,    2,   10
  1670,    3175200,    2,    2,    4,    5
  1671,    3176523,    6,    0,    3,    0
  1672,    3188646,    0,    0,   13,    1
  1673,    3189375,    1,    4,    6,    0
  1674,    3200000,    0,    5,    0,   10
  1675,    3211264,    2,    0,    0,   16
  1676,    3214890,    2,    1,    8,    1
  1677,    3215625,    3,    5,    1,    0
  1678,    3225600,    1,    2,    2,   11
  1679,    3226944,    5,    0,    1,    6
  1680,    3240000,    0,    4,    4,    6
  1681,    3241350,    4,    2,    3,    1
  1682,    3265920,    1,    1,    6,    7
  1683,    3276800,    0,    2,    0,   17
  1684,    3280500,    0,    3,    8,    2
  1685,    3281250,    1,    7,    1,    1
  1686,    3292800,    3,    2,    1,    7
  1687,    3294172,    7,    0,    0,    2
  1688,    3306744,    1,    0,   10,    3
  1689,    3307500,    2,    4,    3,    2
  1690,    3317760,    0,    1,    4,   13
  1691,    3333960,    3,    1,    5,    3
  1692,    3359232,    0,    0,    8,    9
  1693,    3360000,    1,    4,    1,    8
  1694,    3361400,    5,    2,    0,    3
  1695,    3375000,    0,    6,    3,    3
  1696,    3386880,    2,    1,    3,    9
  1697,    3402000,    1,    3,    5,    4
  1698,    3429216,    2,    0,    7,    5
  1699,    3430000,    3,    4,    0,    4
  1700,    3440640,    1,    1,    1,   15
  1701,    3444525,    1,    2,    9,    0
  1702,    3456000,    0,    3,    3,   10
  1703,    3457440,    4,    1,    2,    5
  1704,    3472875,    3,    3,    4,    0
  1705,    3483648,    1,    0,    5,   11
  1706,    3499200,    0,    2,    7,    6
  1707,    3500000,    1,    6,    0,    5
  1708,    3500658,    4,    0,    6,    1
  1709,    3512320,    3,    1,    0,   11
  1710,    3515625,    0,    8,    2,    0
  1711,    3528000,    2,    3,    2,    6
  1712,    3529470,    6,    1,    1,    1
  1713,    3538944,    0,    0,    3,   17
  1714,    3542940,    0,    1,   11,    2
  1715,    3543750,    1,    5,    4,    1
  1716,    3556224,    3,    0,    4,    7
  1717,    3572100,    2,    2,    6,    2
  1718,    3584000,    1,    3,    0,   12
  1719,    3600000,    0,    5,    2,    7
  1720,    3601500,    4,    3,    1,    2
  1721,    3612672,    2,    0,    2,   13
  1722,    3628800,    1,    2,    4,    8
  1723,    3630312,    5,    0,    3,    3
  1724,    3645000,    0,    4,    6,    3
  1725,    3670016,    1,    0,    0,   19
  1726,    3674160,    1,    1,    8,    4
  1727,    3675000,    2,    5,    1,    3
  1728,    3686400,    0,    2,    2,   14
  1729,    3687936,    4,    0,    1,    9
  1730,    3704400,    3,    2,    3,    4
  1731,    3720087,    1,    0,   12,    0
  1732,    3732480,    0,    1,    6,   10
  1733,    3750000,    0,    7,    1,    4
  1734,    3750705,    3,    1,    7,    0
  1735,    3763200,    2,    2,    1,   10
  1736,    3764768,    6,    0,    0,    5
  1737,    3779136,    0,    0,   10,    6
  1738,    3780000,    1,    4,    3,    5
  1739,    3781575,    5,    2,    2,    0
  1740,    3796875,    0,    6,    5,    0
  1741,    3810240,    2,    1,    5,    6
  1742,    3827250,    1,    3,    7,    1
  1743,    3828125,    2,    7,    0,    0
  1744,    3840000,    0,    4,    1,   11
  1745,    3841600,    4,    2,    0,    6
  1746,    3857868,    2,    0,    9,    2
  1747,    3858750,    3,    4,    2,    1
  1748,    3870720,    1,    1,    3,   12
  1749,    3888000,    0,    3,    5,    7
  1750,    3889620,    4,    1,    4,    2
  1751,    3906250,    0,    9,    0,    1
  1752,    3919104,    1,    0,    7,    8
  1753,    3920000,    2,    4,    0,    7
  1754,    3932160,    0,    1,    1,   18
  1755,    3936600,    0,    2,    9,    3
  1756,    3937500,    1,    6,    2,    2
  1757,    3951360,    3,    1,    2,    8
  1758,    3969000,    2,    3,    4,    3
  1759,    3981312,    0,    0,    5,   14
  1760,    4000000,    0,    6,    0,    8
  1761,    4000752,    3,    0,    6,    4
  1762,    4014080,    2,    1,    0,   14
  1763,    4032000,    1,    3,    2,    9
  1764,    4033680,    5,    1,    1,    4
  1765,    4050000,    0,    5,    4,    4
  1766,    4064256,    2,    0,    4,   10
  1767,    4082400,    1,    2,    6,    5
  1768,    4084101,    5,    0,    5,    0
  1769,    4096000,    0,    3,    0,   15
  1770,    4100625,    0,    4,    8,    0
  1771,    4116000,    3,    3,    1,    5
  1772,    4117715,    7,    1,    0,    0
  1773,    4128768,    1,    0,    2,   16
  1774,    4133430,    1,    1,   10,    1
  1775,    4134375,    2,    5,    3,    0
  1776,    4147200,    0,    2,    4,   11
  1777,    4148928,    4,    0,    3,    6
  1778,    4167450,    3,    2,    5,    1
  1779,    4194304,    0,    0,    0,   22
  1780,    4199040,    0,    1,    8,    7
  1781,    4200000,    1,    5,    1,    6
  1782,    4201750,    5,    3,    0,    1
  1783,    4214784,    3,    0,    1,   12
  1784,    4218750,    0,    7,    3,    1
  1785,    4233600,    2,    2,    3,    7
  1786,    4235364,    6,    0,    2,    2
  1787,    4251528,    0,    0,   12,    3
  1788,    4252500,    1,    4,    5,    2
  1789,    4286520,    2,    1,    7,    3
  1790,    4287500,    3,    5,    0,    2
  1791,    4300800,    1,    2,    1,   13
  1792,    4302592,    5,    0,    0,    8
  1793,    4320000,    0,    4,    3,    8
  1794,    4321800,    4,    2,    2,    3
  1795,    4354560,    1,    1,    5,    9
  1796,    4374000,    0,    3,    7,    4
  1797,    4375000,    1,    7,    0,    3
  1798,    4390400,    3,    2,    0,    9
  1799,    4408992,    1,    0,    9,    5
  1800,    4410000,    2,    4,    2,    4
  1801,    4423680,    0,    1,    3,   15
  1802,    4428675,    0,    2,   11,    0
  1803,    4445280,    3,    1,    4,    5
  1804,    4465125,    2,    3,    6,    0
  1805,    4478976,    0,    0,    7,   11
  1806,    4480000,    1,    4,    0,   10
  1807,    4500000,    0,    6,    2,    5
  1808,    4500846,    3,    0,    8,    1
  1809,    4501875,    4,    4,    1,    0
  1810,    4515840,    2,    1,    2,   11
  1811,    4536000,    1,    3,    4,    6
  1812,    4537890,    5,    1,    3,    1
  1813,    4556250,    0,    5,    6,    1
  1814,    4572288,    2,    0,    6,    7
  1815,    4587520,    1,    1,    0,   17
  1816,    4592700,    1,    2,    8,    2
  1817,    4593750,    2,    6,    1,    1
  1818,    4608000,    0,    3,    2,   12
  1819,    4609920,    4,    1,    1,    7
  1820,    4630500,    3,    3,    3,    2
  1821,    4644864,    1,    0,    4,   13
  1822,    4665600,    0,    2,    6,    8
  1823,    4667544,    4,    0,    5,    3
  1824,    4687500,    0,    8,    1,    2
  1825,    4704000,    2,    3,    1,    8
  1826,    4705960,    6,    1,    0,    3
  1827,    4718592,    0,    0,    2,   19
  1828,    4723920,    0,    1,   10,    4
  1829,    4725000,    1,    5,    3,    3
  1830,    4741632,    3,    0,    3,    9
  1831,    4762800,    2,    2,    5,    4
  1832,    4782969,    0,    0,   14,    0
  1833,    4800000,    0,    5,    1,    9
  1834,    4802000,    4,    3,    0,    4
  1835,    4816896,    2,    0,    1,   15
  1836,    4822335,    2,    1,    9,    0
  1837,    4838400,    1,    2,    3,   10
  1838,    4840416,    5,    0,    2,    5
  1839,    4860000,    0,    4,    5,    5
  1840,    4862025,    4,    2,    4,    0
  1841,    4898880,    1,    1,    7,    6
  1842,    4900000,    2,    5,    0,    5
  1843,    4915200,    0,    2,    1,   16
  1844,    4917248,    4,    0,    0,   11
  1845,    4920750,    0,    3,    9,    1
  1846,    4921875,    1,    7,    2,    0
  1847,    4939200,    3,    2,    2,    6
  1848,    4941258,    7,    0,    1,    1
  1849,    4960116,    1,    0,   11,    2
  1850,    4961250,    2,    4,    4,    1
  1851,    4976640,    0,    1,    5,   12
  1852,    5000000,    0,    7,    0,    6
  1853,    5000940,    3,    1,    6,    2
  1854,    5017600,    2,    2,    0,   12
  1855,    5038848,    0,    0,    9,    8
  1856,    5040000,    1,    4,    2,    7
  1857,    5042100,    5,    2,    1,    2
  1858,    5062500,    0,    6,    4,    2
  1859,    5080320,    2,    1,    4,    8
  1860,    5103000,    1,    3,    6,    3
  1861,    5120000,    0,    4,    0,   13
  1862,    5143824,    2,    0,    8,    4
  1863,    5145000,    3,    4,    1,    3
  1864,    5160960,    1,    1,    2,   14
  1865,    5184000,    0,    3,    4,    9
  1866,    5186160,    4,    1,    3,    4
  1867,    5225472,    1,    0,    6,   10
  1868,    5242880,    0,    1,    0,   20
  1869,    5248800,    0,    2,    8,    5
  1870,    5250000,    1,    6,    1,    4
  1871,    5250987,    4,    0,    7,    0
  1872,    5268480,    3,    1,    1,   10
  1873,    5292000,    2,    3,    3,    5
  1874,    5294205,    6,    1,    2,    0
  1875,    5308416,    0,    0,    4,   16
  1876,    5314410,    0,    1,   12,    1
  1877,    5315625,    1,    5,    5,    0
  1878,    5334336,    3,    0,    5,    6
  1879,    5358150,    2,    2,    7,    1
  1880,    5359375,    3,    6,    0,    0
  1881,    5376000,    1,    3,    1,   11
  1882,    5378240,    5,    1,    0,    6
  1883,    5400000,    0,    5,    3,    6
  1884,    5402250,    4,    3,    2,    1
  1885,    5419008,    2,    0,    3,   12
  1886,    5443200,    1,    2,    5,    7
  1887,    5445468,    5,    0,    4,    2
  1888,    5467500,    0,    4,    7,    2
  1889,    5468750,    1,    8,    0,    1
  1890,    5488000,    3,    3,    0,    7
  1891,    5505024,    1,    0,    1,   18
  1892,    5511240,    1,    1,    9,    3
  1893,    5512500,    2,    5,    2,    2
  1894,    5529600,    0,    2,    3,   13
  1895,    5531904,    4,    0,    2,    8
  1896,    5556600,    3,    2,    4,    3
  1897,    5598720,    0,    1,    7,    9
  1898,    5600000,    1,    5,    0,    8
  1899,    5619712,    3,    0,    0,   14
  1900,    5625000,    0,    7,    2,    3
  1901,    5644800,    2,    2,    2,    9
  1902,    5647152,    6,    0,    1,    4
  1903,    5668704,    0,    0,   11,    5
  1904,    5670000,    1,    4,    4,    4
  1905,    5715360,    2,    1,    6,    5
  1906,    5734400,    1,    2,    0,   15
  1907,    5740875,    1,    3,    8,    0
  1908,    5760000,    0,    4,    2,   10
  1909,    5762400,    4,    2,    1,    5
  1910,    5764801,    8,    0,    0,    0
  1911,    5786802,    2,    0,   10,    1
  1912,    5788125,    3,    4,    3,    0
  1913,    5806080,    1,    1,    4,   11
  1914,    5832000,    0,    3,    6,    6
  1915,    5834430,    4,    1,    5,    1
  1916,    5859375,    0,    9,    1,    0
  1917,    5878656,    1,    0,    8,    7
  1918,    5880000,    2,    4,    1,    6
  1919,    5882450,    6,    2,    0,    1
  1920,    5898240,    0,    1,    2,   17
  1921,    5904900,    0,    2,   10,    2
  1922,    5906250,    1,    6,    3,    1
  1923,    5927040,    3,    1,    3,    7
  1924,    5953500,    2,    3,    5,    2
  1925,    5971968,    0,    0,    6,   13
  1926,    6000000,    0,    6,    1,    7
  1927,    6001128,    3,    0,    7,    3
  1928,    6002500,    4,    4,    0,    2
  1929,    6021120,    2,    1,    1,   13
  1930,    6048000,    1,    3,    3,    8
  1931,    6050520,    5,    1,    2,    3
  1932,    6075000,    0,    5,    5,    3
  1933,    6096384,    2,    0,    5,    9
  1934,    6123600,    1,    2,    7,    4
  1935,    6125000,    2,    6,    0,    3
  1936,    6144000,    0,    3,    1,   14
  1937,    6146560,    4,    1,    0,    9
  1938,    6174000,    3,    3,    2,    4
  1939,    6193152,    1,    0,    3,   15
  1940,    6200145,    1,    1,   11,    0
  1941,    6220800,    0,    2,    5,   10
  1942,    6223392,    4,    0,    4,    5
  1943,    6250000,    0,    8,    0,    4
  1944,    6251175,    3,    2,    6,    0
  1945,    6272000,    2,    3,    0,   10
  1946,    6291456,    0,    0,    1,   21
  1947,    6298560,    0,    1,    9,    6
  1948,    6300000,    1,    5,    2,    5
  1949,    6302625,    5,    3,    1,    0
  1950,    6322176,    3,    0,    2,   11
  1951,    6328125,    0,    7,    4,    0
  1952,    6350400,    2,    2,    4,    6
  1953,    6353046,    6,    0,    3,    1
  1954,    6377292,    0,    0,   13,    2
  1955,    6378750,    1,    4,    6,    1
  1956,    6400000,    0,    5,    0,   11
  1957,    6422528,    2,    0,    0,   17
  1958,    6429780,    2,    1,    8,    2
  1959,    6431250,    3,    5,    1,    1
  1960,    6451200,    1,    2,    2,   12
  1961,    6453888,    5,    0,    1,    7
  1962,    6480000,    0,    4,    4,    7
  1963,    6482700,    4,    2,    3,    2
  1964,    6531840,    1,    1,    6,    8
  1965,    6553600,    0,    2,    0,   18
  1966,    6561000,    0,    3,    8,    3
  1967,    6562500,    1,    7,    1,    2
  1968,    6585600,    3,    2,    1,    8
  1969,    6588344,    7,    0,    0,    3
  1970,    6613488,    1,    0,   10,    4
  1971,    6615000,    2,    4,    3,    3
  1972,    6635520,    0,    1,    4,   14
  1973,    6667920,    3,    1,    5,    4
  1974,    6718464,    0,    0,    8,   10
  1975,    6720000,    1,    4,    1,    9
  1976,    6722800,    5,    2,    0,    4
  1977,    6750000,    0,    6,    3,    4
  1978,    6751269,    3,    0,    9,    0
  1979,    6773760,    2,    1,    3,   10
  1980,    6804000,    1,    3,    5,    5
  1981,    6806835,    5,    1,    4,    0
  1982,    6834375,    0,    5,    7,    0
  1983,    6858432,    2,    0,    7,    6
  1984,    6860000,    3,    4,    0,    5
  1985,    6881280,    1,    1,    1,   16
  1986,    6889050,    1,    2,    9,    1
  1987,    6890625,    2,    6,    2,    0
  1988,    6912000,    0,    3,    3,   11
  1989,    6914880,    4,    1,    2,    6
  1990,    6945750,    3,    3,    4,    1
  1991,    6967296,    1,    0,    5,   12
  1992,    6998400,    0,    2,    7,    7
  1993,    7000000,    1,    6,    0,    6
  1994,    7001316,    4,    0,    6,    2
  1995,    7024640,    3,    1,    0,   12
  1996,    7031250,    0,    8,    2,    1
  1997,    7056000,    2,    3,    2,    7
  1998,    7058940,    6,    1,    1,    2
  1999,    7077888,    0,    0,    3,   18
  2000,    7085880,    0,    1,   11,    3
  2001,    7087500,    1,    5,    4,    2
  2002,    7112448,    3,    0,    4,    8
  2003,    7144200,    2,    2,    6,    3
  2004,    7168000,    1,    3,    0,   13
  2005,    7200000,    0,    5,    2,    8
  2006,    7203000,    4,    3,    1,    3
  2007,    7225344,    2,    0,    2,   14
  2008,    7257600,    1,    2,    4,    9
  2009,    7260624,    5,    0,    3,    4
  2010,    7290000,    0,    4,    6,    4
  2011,    7340032,    1,    0,    0,   20
  2012,    7348320,    1,    1,    8,    5
  2013,    7350000,    2,    5,    1,    4
  2014,    7372800,    0,    2,    2,   15
  2015,    7375872,    4,    0,    1,   10
  2016,    7381125,    0,    3,   10,    0
  2017,    7408800,    3,    2,    3,    5
  2018,    7411887,    7,    0,    2,    0
  2019,    7440174,    1,    0,   12,    1
  2020,    7441875,    2,    4,    5,    0
  2021,    7464960,    0,    1,    6,   11
  2022,    7500000,    0,    7,    1,    5
  2023,    7501410,    3,    1,    7,    1
  2024,    7503125,    4,    5,    0,    0
  2025,    7526400,    2,    2,    1,   11
  2026,    7529536,    6,    0,    0,    6
  2027,    7558272,    0,    0,   10,    7
  2028,    7560000,    1,    4,    3,    6
  2029,    7563150,    5,    2,    2,    1
  2030,    7593750,    0,    6,    5,    1
  2031,    7620480,    2,    1,    5,    7
  2032,    7654500,    1,    3,    7,    2
  2033,    7656250,    2,    7,    0,    1
  2034,    7680000,    0,    4,    1,   12
  2035,    7683200,    4,    2,    0,    7
  2036,    7715736,    2,    0,    9,    3
  2037,    7717500,    3,    4,    2,    2
  2038,    7741440,    1,    1,    3,   13
  2039,    7776000,    0,    3,    5,    8
  2040,    7779240,    4,    1,    4,    3
  2041,    7812500,    0,    9,    0,    2
  2042,    7838208,    1,    0,    7,    9
  2043,    7840000,    2,    4,    0,    8
  2044,    7864320,    0,    1,    1,   19
  2045,    7873200,    0,    2,    9,    4
  2046,    7875000,    1,    6,    2,    3
  2047,    7902720,    3,    1,    2,    9
  2048,    7938000,    2,    3,    4,    4
  2049,    7962624,    0,    0,    5,   15
  2050,    7971615,    0,    1,   13,    0
  2051,    8000000,    0,    6,    0,    9
  2052,    8001504,    3,    0,    6,    5
  2053,    8028160,    2,    1,    0,   15
  2054,    8037225,    2,    2,    8,    0
  2055,    8064000,    1,    3,    2,   10
  2056,    8067360,    5,    1,    1,    5
  2057,    8100000,    0,    5,    4,    5
  2058,    8103375,    4,    3,    3,    0
  2059,    8128512,    2,    0,    4,   11
  2060,    8164800,    1,    2,    6,    6
  2061,    8168202,    5,    0,    5,    1
  2062,    8192000,    0,    3,    0,   16
  2063,    8201250,    0,    4,    8,    1
  2064,    8203125,    1,    8,    1,    0
  2065,    8232000,    3,    3,    1,    6
  2066,    8235430,    7,    1,    0,    1
  2067,    8257536,    1,    0,    2,   17
  2068,    8266860,    1,    1,   10,    2
  2069,    8268750,    2,    5,    3,    1
  2070,    8294400,    0,    2,    4,   12
  2071,    8297856,    4,    0,    3,    7
  2072,    8334900,    3,    2,    5,    2
  2073,    8388608,    0,    0,    0,   23
  2074,    8398080,    0,    1,    8,    8
  2075,    8400000,    1,    5,    1,    7
  2076,    8403500,    5,    3,    0,    2
  2077,    8429568,    3,    0,    1,   13
  2078,    8437500,    0,    7,    3,    2
  2079,    8467200,    2,    2,    3,    8
  2080,    8470728,    6,    0,    2,    3
  2081,    8503056,    0,    0,   12,    4
  2082,    8505000,    1,    4,    5,    3
  2083,    8573040,    2,    1,    7,    4
  2084,    8575000,    3,    5,    0,    3
  2085,    8601600,    1,    2,    1,   14
  2086,    8605184,    5,    0,    0,    9
  2087,    8640000,    0,    4,    3,    9
  2088,    8643600,    4,    2,    2,    4
  2089,    8680203,    2,    0,   11,    0
  2090,    8709120,    1,    1,    5,   10
  2091,    8748000,    0,    3,    7,    5
  2092,    8750000,    1,    7,    0,    4
  2093,    8751645,    4,    1,    6,    0
  2094,    8780800,    3,    2,    0,   10
  2095,    8817984,    1,    0,    9,    6
  2096,    8820000,    2,    4,    2,    5
  2097,    8823675,    6,    2,    1,    0
  2098,    8847360,    0,    1,    3,   16
  2099,    8857350,    0,    2,   11,    1
  2100,    8859375,    1,    6,    4,    0
  2101,    8890560,    3,    1,    4,    6
  2102,    8930250,    2,    3,    6,    1
  2103,    8957952,    0,    0,    7,   12
  2104,    8960000,    1,    4,    0,   11
  2105,    9000000,    0,    6,    2,    6
  2106,    9001692,    3,    0,    8,    2
  2107,    9003750,    4,    4,    1,    1
  2108,    9031680,    2,    1,    2,   12
